old_file path,new_file path,commit SHA,parent commit SHA,new_file_MCC,test_name,test_id,issue_severity,issue_confidence,line_number,col_offset,end_col_offset,line_range,issue_cwe
config.sh,config.sh,d0dbb0513b28122fc6cfdf126e344064f2077de8,583d1266b47ac5527ba34d9118add325577a333e,,,,,,,,,,
config.sh,config.sh,d4a51981676eacd6763fac5b183e6267a4305610,d0dbb0513b28122fc6cfdf126e344064f2077de8,,,,,,,,,,
travis_osx_brew_cache.sh,travis_osx_brew_cache.sh,e1523c845ed4f17029d7a97671ca49b630d3c6c7,d4a51981676eacd6763fac5b183e6267a4305610,,,,,,,,,,
travis_osx_brew_cache.sh,travis_osx_brew_cache.sh,c4286d26c3f9763a502e17c852855a4303e4c771,e1523c845ed4f17029d7a97671ca49b630d3c6c7,,,,,,,,,,
.travis.yml,.travis.yml,42b35191fae5c41cf028ae627ca47033e06ff1ea,c4286d26c3f9763a502e17c852855a4303e4c771,,,,,,,,,,
travis_config.sh,travis_config.sh,fac2703ffcc7ad810ce9a0af119d95bd03048fb9,d6a45ba2ae322562e8731c27695b6e00528862f7,,,,,,,,,,
.travis.yml,.travis.yml,f3c731aefa65be7dfebda4e887c345bbe41ede72,da7d02271d2ffca8f293ed3f3032f30881319db8,,,,,,,,,,
README.md,README.md,4b191f860257297be04e57213b0d981bcfb9a841,da7d02271d2ffca8f293ed3f3032f30881319db8,,,,,,,,,,
setup.py,setup.py,4b191f860257297be04e57213b0d981bcfb9a841,da7d02271d2ffca8f293ed3f3032f30881319db8,56,blacklist,B404,LOW,HIGH,7,0,17,[7],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,4b191f860257297be04e57213b0d981bcfb9a841,da7d02271d2ffca8f293ed3f3032f30881319db8,56,assert_used,B101,LOW,HIGH,240,8,74,[240],https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,4b191f860257297be04e57213b0d981bcfb9a841,da7d02271d2ffca8f293ed3f3032f30881319db8,56,subprocess_without_shell_equals_true,B603,LOW,HIGH,344,4,88,[344],https://cwe.mitre.org/data/definitions/78.html
setup.py,setup.py,4b191f860257297be04e57213b0d981bcfb9a841,da7d02271d2ffca8f293ed3f3032f30881319db8,56,try_except_pass,B110,LOW,HIGH,360,4,12,"[360, 361]",https://cwe.mitre.org/data/definitions/703.html
setup.py,setup.py,4b191f860257297be04e57213b0d981bcfb9a841,da7d02271d2ffca8f293ed3f3032f30881319db8,56,try_except_pass,B110,LOW,HIGH,366,8,16,"[366, 367]",https://cwe.mitre.org/data/definitions/703.html
